,ID,Title,Popularity,Release_Date,Vote_Average,Vote_Count
0,19404,Dilwale Dulhania Le Jayenge,16.808,1995-10-20,9.0,2015
1,278,The Shawshank Redemption,32.926,1994-09-23,8.7,12582
2,238,The Godfather,29.979,1972-03-14,8.6,9630
3,372058,Your Name.,19.244,2016-08-26,8.6,3833
4,424,Schindler's List,22.057,1993-12-15,8.5,7631
5,240,The Godfather: Part II,17.883,1974-12-20,8.5,5617
6,129,Spirited Away,20.765,2001-07-20,8.5,7080
7,324857,Spider-Man: Into the Spider-Verse,126.459,2018-12-07,8.5,2885
8,497,The Green Mile,22.202,1999-12-10,8.4,7878
9,637,Life Is Beautiful,16.009,1997-12-20,8.4,6937
10,680,Pulp Fiction,34.628,1994-09-10,8.4,14586
11,40096,A Dog's Will,6.467,2000-09-15,8.4,405
12,155,The Dark Knight,34.016,2008-07-16,8.4,18266
13,539,Psycho,16.062,1960-06-16,8.4,4667
14,550,Fight Club,31.515,1999-10-15,8.4,15701
15,13,Forrest Gump,26.907,1994-07-06,8.4,14124
16,389,12 Angry Men,19.102,1957-03-25,8.4,3570
17,18491,Neon Genesis Evangelion: The End of Evangelion,10.3,1997-07-19,8.4,299
18,12477,Grave of the Fireflies,0.6,1988-04-16,8.4,1922
19,122,The Lord of the Rings: The Return of the King,40.819,2003-12-01,8.4,12673
20,510,One Flew Over the Cuckoo's Nest,19.023,1975-11-18,8.4,5253
21,769,GoodFellas,17.391,1990-09-12,8.4,5356
22,311,Once Upon a Time in America,15.386,1984-05-23,8.4,2131
23,11216,Cinema Paradiso,9.592,1988-11-17,8.4,1642
24,244786,Whiplash,28.222,2014-10-10,8.4,7569
25,429,"The Good, the Bad and the Ugly",17.372,1966-12-23,8.4,3860
26,901,City Lights,8.56,1931-02-26,8.4,822
27,346,Seven Samurai,13.034,1954-04-26,8.4,1419
28,914,The Great Dictator,9.575,1940-10-15,8.4,1387
29,14537,Harakiri,9.74,1962-09-15,8.4,233
30,452522,Twin Peaks,7.176,1989-12-31,8.4,274
31,517814,Capernaum,20.898,2018-10-06,8.4,187
32,432517,Sherlock: The Final Problem,7.424,2017-01-15,8.4,648
33,598,City of God,12.313,2002-02-05,8.4,3168
34,599,Sunset Boulevard,11.471,1950-08-10,8.4,985
35,73,American History X,14.921,1998-10-30,8.3,5570
36,4935,Howl's Moving Castle,16.793,2004-11-19,8.3,3761
37,313106,Doctor Who: The Day of the Doctor,9.579,2013-11-23,8.3,489
38,128,Princess Mononoke,18.067,1997-07-12,8.3,3569
39,374430,Black Mirror: White Christmas,5.946,2014-12-16,8.3,781
40,1891,The Empire Strikes Back,19.946,1980-05-20,8.3,9464
41,3782,Ikiru,8.194,1952-10-09,8.3,372
42,26451,Investigation of a Citizen Above Suspicion,7.927,1970-02-09,8.3,219
43,290098,The Handmaiden,11.476,2016-06-01,8.3,1133
44,207,Dead Poets Society,15.635,1989-06-02,8.3,5518
45,975,Paths of Glory,11.788,1957-09-18,8.3,1104
46,265177,Mommy,9.58,2014-05-22,8.3,1322
47,20914,My Friends,7.092,1975-06-06,8.3,274
48,11659,The Best of Youth,4.767,2003-05-19,8.3,199
49,567,Rear Window,15.582,1954-08-01,8.3,2763
50,484468,The Wolf's Call,10.338,2019-02-20,8.3,214
51,455661,In a Heartbeat,4.367,2017-06-01,8.3,644
52,37257,Witness for the Prosecution,10.192,1957-12-17,8.3,488
53,797,Persona,9.663,1966-10-18,8.3,685
54,398818,Call Me by Your Name,16.324,2017-09-01,8.3,4609
55,101,Léon: The Professional,23.15,1994-09-14,8.3,7302
56,18148,Tokyo Story,9.5,1953-11-03,8.3,331
57,895,Andrei Rublev,7.724,1966-12-16,8.3,256
58,10376,The Legend of 1900,6.75,1998-10-28,8.3,1066
59,3082,Modern Times,8.799,1936-02-05,8.3,1664
60,423,The Pianist,12.055,2002-09-17,8.3,3745
61,24188,Il Sorpasso,6.418,1962-12-04,8.3,216
62,807,Se7en,23.295,1995-09-22,8.3,10165
63,490132,Green Book,66.879,2018-11-16,8.3,2577
64,120,The Lord of the Rings: The Fellowship of the Ring,42.302,2001-12-18,8.3,13923
65,339877,Loving Vincent,11.106,2017-06-22,8.3,1127
66,24382,Big Deal on Madonna Street,6.161,1958-06-06,8.3,247
67,27205,Inception,33.392,2010-07-15,8.3,21409
68,378064,A Silent Voice,12.027,2016-09-17,8.3,933
69,274,The Silence of the Lambs,4.227,1991-02-01,8.3,8061
70,299536,Avengers: Infinity War,137.906,2018-04-25,8.3,12289
71,1398,Stalker,10.117,1979-04-16,8.3,695
72,121,The Lord of the Rings: The Two Towers,34.478,2002-12-18,8.2,12010
73,335,Once Upon a Time in the West,15.029,1968-12-21,8.2,1944
74,10098,The Kid,6.511,1921-01-21,8.2,782
75,77338,The Intouchables,16.034,2011-11-02,8.2,9500
76,538362,On My Skin,11.473,2018-08-29,8.2,981
77,406997,Wonder,16.667,2017-11-13,8.2,3698
78,105,Back to the Future,20.894,1985-07-03,8.2,10475
79,157336,Interstellar,42.392,2014-11-05,8.2,17858
80,423,The Pianist,12.055,2002-09-17,8.3,3745
81,24188,Il Sorpasso,6.418,1962-12-04,8.3,216
82,807,Se7en,23.295,1995-09-22,8.3,10165
83,490132,Green Book,66.879,2018-11-16,8.3,2577
84,120,The Lord of the Rings: The Fellowship of the Ring,42.302,2001-12-18,8.3,13923
85,339877,Loving Vincent,11.106,2017-06-22,8.3,1127
86,24382,Big Deal on Madonna Street,6.161,1958-06-06,8.3,247
87,27205,Inception,33.392,2010-07-15,8.3,21409
88,378064,A Silent Voice,12.027,2016-09-17,8.3,933
89,274,The Silence of the Lambs,4.227,1991-02-01,8.3,8061
90,299536,Avengers: Infinity War,137.906,2018-04-25,8.3,12289
91,1398,Stalker,10.117,1979-04-16,8.3,695
92,121,The Lord of the Rings: The Two Towers,34.478,2002-12-18,8.2,12010
93,335,Once Upon a Time in the West,15.029,1968-12-21,8.2,1944
94,10098,The Kid,6.511,1921-01-21,8.2,782
95,77338,The Intouchables,16.034,2011-11-02,8.2,9500
96,538362,On My Skin,11.473,2018-08-29,8.2,981
97,406997,Wonder,16.667,2017-11-13,8.2,3698
98,105,Back to the Future,20.894,1985-07-03,8.2,10475
99,157336,Interstellar,42.392,2014-11-05,8.2,17858
100,12493,High and Low,9.265,1963-03-01,8.2,212
101,426,Vertigo,11.887,1958-05-09,8.2,2363
102,19,Metropolis,10.942,1927-01-10,8.2,1118
103,411088,The Invisible Guest,15.06,2016-09-22,8.2,1499
104,1585,It's a Wonderful Life,21.669,1946-12-20,8.2,1932
105,284,The Apartment,11.968,1960-06-15,8.2,863
106,38288,I Corti,5.001,1996-01-01,8.2,215
107,28,Apocalypse Now,16.19,1979-08-15,8.2,3726
108,399106,Piper,6.371,2016-06-16,8.2,837
109,629,The Usual Suspects,15.548,1995-07-19,8.2,5424
110,5156,Bicycle Thieves,6.403,1948-11-24,8.2,853
111,25237,Come and See,8.871,1985-07-01,8.2,312
112,8587,The Lion King,21.228,1994-05-07,8.2,9716
113,110420,Wolf Children,12.425,2012-07-21,8.2,984
114,491480,The Boy Who Harnessed the Wind,28.047,2019-03-01,8.2,167
115,422,8½,7.93,1963-02-14,8.2,804
116,705,All About Eve,9.216,1950-11-09,8.2,650
117,670,Oldboy,14.741,2003-09-28,8.2,3554
118,548,Rashomon,8.456,1950-12-26,8.2,799
119,694,The Shining,19.71,1980-05-22,8.2,8030
120,449176,"Love, Simon",16.273,2018-02-16,8.2,2861
121,77,Memento,11.752,2000-10-11,8.2,7506
122,282848,Doctor Who: The Time of the Doctor,5.199,2013-12-25,8.2,171
123,28422,Love Exposure,6.534,2008-11-29,8.2,160
124,11,Star Wars,34.989,1977-05-25,8.2,11043
125,185,A Clockwork Orange,21.962,1971-12-18,8.2,6348
126,239,Some Like It Hot,11.346,1959-03-18,8.2,1483
127,429210,Bingo: The King of the Mornings,4.651,2017-08-24,8.2,178
128,780,The Passion of Joan of Arc,8.019,1928-04-21,8.2,308
129,9764,Dersu Uzala,5.658,1975-08-02,8.2,156
130,996,Double Indemnity,9.206,1944-04-24,8.2,704
131,992,"Sherlock, Jr.",6.687,1924-04-21,8.2,278
132,490,The Seventh Seal,7.901,1957-02-16,8.2,1102
133,359940,"Three Billboards Outside Ebbing, Missouri",15.6,2017-11-10,8.2,5117
134,470044,The Hate U Give,21.55,2018-10-19,8.2,460
135,498249,Bad Seeds,8.192,2018-11-21,8.2,191
136,92321,Hotarubi no Mori e,0.6,2011-09-17,8.2,259
137,10494,Perfect Blue,8.997,1997-07-25,8.2,613
138,833,Umberto D.,6.542,1952-01-20,8.2,201
139,500,Reservoir Dogs,18.518,1992-09-02,8.2,6782
140,103,Taxi Driver,18.129,1976-02-07,8.1,4936
141,110416,Song of the Sea,8.341,2014-09-06,8.1,669
142,334543,Lion,19.121,2016-11-24,8.1,3648
143,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,10.537,1964-01-29,8.1,2631
144,149871,The Tale of the Princess Kaguya,10.534,2013-11-23,8.1,635
145,354912,Coco,21.491,2017-10-27,8.1,8175
146,654,On the Waterfront,8.805,1954-06-22,8.1,644
147,1124,The Prestige,20.218,2006-10-19,8.1,7810
148,832,M,8.082,1931-05-11,8.1,825
149,11878,Yojimbo,7.494,1961-04-25,8.1,525
150,614,Wild Strawberries,7.453,1957-12-26,8.1,563
151,264644,Room,16.09,2015-10-16,8.1,5108
152,8392,My Neighbor Totoro,23.344,1988-04-16,8.1,3095
153,14696,Ugetsu,7.52,1953-03-26,8.1,178
154,19542,The Red Shoes,6.972,1948-07-20,8.1,215
155,872,Singin' in the Rain,11.362,1952-04-10,8.1,1344
156,28978,The Circus,6.806,1928-01-06,8.1,242
157,50014,The Help,10.22,2011-08-09,8.1,3752
158,237791,The Way He Looks,5.524,2014-03-28,8.1,549
159,961,The General,7.913,1926-12-31,8.1,428
160,289,Casablanca,10.415,1942-11-26,8.1,2418
161,1422,The Departed,20.428,2006-10-05,8.1,7546
162,10242,What Ever Happened to Baby Jane?,8.897,1962-10-31,8.1,409
163,111,Scarface,17.812,1983-12-08,8.1,5179
164,16869,Inglourious Basterds,21.866,2009-08-18,8.1,11408
165,98,Gladiator,18.249,2000-05-01,8.1,9288
166,147,The 400 Blows,7.207,1959-05-04,8.1,727
167,424694,Bohemian Rhapsody,70.649,2018-10-24,8.1,6473
168,29264,The Exterminating Angel,7.188,1962-05-16,8.1,230
169,439,La Dolce Vita,9.453,1960-02-05,8.1,633
170,1396,Mirror,8.539,1975-03-07,8.1,292
171,92060,Michael Jackson's Thriller,5.779,1983-11-14,8.1,206
172,15,Citizen Kane,14.431,1941-04-30,8.1,2284
173,360814,Dangal,7.207,2016-12-21,8.1,330
174,843,In the Mood for Love,10.834,2000-05-22,8.1,769
175,655,"Paris, Texas",7.915,1984-05-19,8.1,540
176,600,Full Metal Jacket,16.253,1987-06-26,8.1,4922
177,1092,The Third Man,10.26,1949-08-31,8.1,747
178,307,"Rome, Open City",6.477,1945-09-27,8.1,278
179,140420,Paperman,6.289,2012-11-02,8.1,1089
180,857,Saving Private Ryan,23.753,1998-07-24,8.1,8082
181,7345,There Will Be Blood,13.033,2007-12-28,8.1,2741
182,11324,Shutter Island,16.844,2010-02-14,8.1,12043
183,3090,The Treasure of the Sierra Madre,10.871,1948-01-24,8.1,462
184,1394,Nostalgia,5.921,1983-05-01,8.1,170
185,603,The Matrix,29.673,1999-03-30,8.1,13860
186,12445,Harry Potter and the Deathly Hallows: Part 2,33.548,2011-07-07,8.1,11045
187,18438,Castaway on the Moon,6.166,2009-05-14,8.1,247
188,11423,Memories of Murder,11.304,2003-04-24,8.1,799
189,11712,Sanjuro,5.643,1962-01-01,8.1,194
190,38,Eternal Sunshine of the Spotless Mind,12.885,2004-03-19,8.1,7083
